block,user,item
0,1,1
0,1,2
0,2,3
0,3,4
0,4,5
0,5,6
0,6,7
0,3,8
0,6,9
0,7,4
0,3,10
0,8,11
0,9,12
0,10,13
0,10,14
0,10,15
0,10,8
0,11,16
0,10,17
0,10,18
0,12,2
0,13,19
0,11,20
0,14,12
0,10,21
0,6,5
0,6,22
0,10,23
0,9,17
0,2,24
0,1,25
0,1,13
0,2,26
0,3,18
0,15,27
0,16,26
0,2,28
0,15,29
0,17,30
0,18,13
0,10,31
0,1,32
0,19,33
0,20,34
0,21,35
0,22,13
0,21,36
0,23,37
0,24,38
0,21,39
0,21,40
0,25,30
0,26,41
0,3,42
0,14,6
0,1,43
0,21,44
0,1,45
0,24,46
0,27,47
0,28,48
0,29,49
0,29,7
0,29,50
0,29,51
0,29,52
0,29,39
0,30,53
0,22,54
0,3,55
0,31,6
0,32,54
0,1,54
0,33,42
0,34,56
0,1,57
0,34,58
0,1,59
0,24,59
0,35,60
0,33,59
0,14,61
0,36,7
0,6,30
0,33,19
0,34,53
0,37,13
0,34,8
0,28,62
0,34,63
0,28,64
0,4,65
0,38,66
0,39,46
0,39,67
0,36,19
0,40,53
0,41,53
0,41,39
0,42,57
0,34,68
0,29,69
0,29,70
0,41,71
0,29,72
0,24,13
0,24,73
0,41,74
0,43,60
0,44,75
0,41,76
0,38,77
0,45,78
0,1,79
0,42,54
0,46,80
0,10,54
0,37,81
0,42,82
0,47,23
0,45,31
0,28,83
0,48,84
0,28,7
0,48,7
0,49,1
0,48,85
0,45,86
0,48,87
0,41,62
0,48,53
0,42,88
0,50,12
0,51,17
0,46,89
0,46,90
0,46,91
0,52,92
0,5,65
0,5,93
0,5,94
0,5,95
0,53,12
0,46,68
0,46,59
0,42,96
0,44,97
0,31,98
0,44,91
0,41,99
0,41,100
0,54,101
0,54,2
0,54,102
0,55,7
0,44,19
0,54,18
0,54,103
0,54,104
0,30,59
0,54,105
0,54,106
0,54,97
0,53,107
0,53,69
0,53,108
0,56,109
0,54,110
0,16,111
0,57,68
0,54,112
0,44,113
0,52,93
0,51,59
0,51,101
0,54,95
0,58,114
0,58,115
0,58,116
0,44,117
0,14,116
0,53,118
0,51,57
0,59,119
0,28,120
0,54,109
0,54,121
0,54,122
0,60,123
0,54,124
0,54,125
0,61,68
0,62,126
0,63,127
0,54,64
0,62,128
0,62,90
0,54,129
0,62,64
0,51,130
0,62,131
0,54,132
0,62,133
0,34,37
0,54,134
0,34,135
0,34,136
0,61,137
0,64,138
0,51,43
0,54,139
0,65,140
0,65,141
0,65,142
0,65,143
0,29,144
0,62,145
0,58,146
0,54,147
0,54,148
0,58,130
0,54,149
0,65,150
0,62,65
0,65,151
0,62,152
0,66,59
0,61,153
0,67,7
0,62,91
0,68,129
0,28,154
0,69,103
0,70,155
0,70,156
0,54,157
0,54,158
0,54,159
0,71,160
0,70,13
0,72,161
0,73,4
0,74,78
0,75,162
0,70,163
0,54,164
0,54,165
0,52,166
0,52,7
0,54,34
0,54,167
0,54,168
0,73,169
0,76,77
0,41,170
0,77,171
0,25,172
0,78,61
0,54,17
0,54,173
0,54,174
0,69,175
0,79,43
0,9,176
0,80,160
0,54,177
0,54,178
0,54,179
0,54,180
0,54,181
0,54,182
0,81,59
0,50,183
0,82,54
0,70,171
0,70,114
0,34,184
0,81,185
0,54,186
0,83,187
0,52,54
0,54,84
0,84,53
0,84,60
0,9,188
0,70,189
0,85,190
0,85,111
0,85,191
0,85,7
0,86,192
0,85,193
0,85,194
0,85,195
0,85,196
0,85,197
0,87,198
0,87,109
0,56,199
0,56,131
0,54,200
0,54,201
0,55,115
0,41,202
0,88,59
0,89,203
0,54,204
0,14,205
0,84,4
0,84,164
0,90,206
0,89,161
0,37,207
0,91,160
0,41,208
0,92,209
0,93,210
0,74,104
0,94,211
0,69,212
0,22,213
0,68,7
0,95,87
0,3,54
0,96,54
0,56,53
0,9,93
0,97,82
0,98,214
0,99,215
0,100,216
0,101,97
0,98,129
0,98,217
0,98,18
0,98,218
0,98,177
0,98,178
0,102,59
0,25,47
0,103,116
0,104,219
0,98,181
0,28,4
0,105,220
0,98,8
0,98,180
0,105,111
0,90,40
0,106,185
0,107,221
0,107,222
0,107,50
0,107,223
0,107,224
0,107,49
0,98,21
0,105,61
0,107,225
